TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNCHNGACHNSI,0,2021,2024
TRNCHNGACHNWM,0,2021,2024
TRNCHNGACHNXI,0,2021,2024
TRNCHNGAMNGXX,0,2021,2024
TRNCHNGDCHNGX,0,2021,2024
TRNCHNGDCHNHA,0,2021,2024
TRNCHNGDCHNHK,0,2021,2024
TRNCHNGDCHNHN,0,2021,2024
TRNCHNGDCHNJX,0,2021,2024
TRNCHNGDCHNMA,0,2021,2024
TRNCHNGDCHNSC,0,2021,2024
TRNCHNGDCHNYU,0,2021,2024
TRNCHNGUCHNGX,0,2021,2024
TRNCHNGUCHNHN,0,2021,2024
TRNCHNGUCHNJS,0,2021,2024
TRNCHNGUCHNSC,0,2021,2024
TRNCHNGUCHNYU,0,2021,2024
TRNCHNGXCHNHN,0,2021,2024
TRNCHNGXCHNXI,0,2021,2024
TRNCHNGXCHNYU,0,2021,2024
TRNCHNGXVNMXX,0,2021,2024
TRNCHNHBCHNHE,0,2021,2024
TRNCHNHBCHNLI,0,2021,2024
TRNCHNHBCHNSD,0,2021,2024
TRNCHNHBCHNSX,0,2021,2024
TRNCHNHBCHNTJ,0,2021,2024
TRNCHNHBCHNWM,0,2021,2024
TRNCHNHECHNHU,0,2021,2024
TRNCHNHECHNJS,0,2021,2024
TRNCHNHECHNQI,0,2021,2024
TRNCHNHECHNSD,0,2021,2024
TRNCHNHECHNSI,0,2021,2024
TRNCHNHECHNSX,0,2021,2024
TRNCHNHECHNXI,0,2021,2024
TRNCHNHJCHNJI,0,2021,2024
TRNCHNHJRUSFE,0,2021,2024
TRNCHNHJRUSSI,0,2021,2024
TRNCHNHNCHNHU,0,2021,2024
TRNCHNHNCHNJX,0,2021,2024
TRNCHNHNCHNNI,0,2021,2024
TRNCHNHNCHNSC,0,2021,2024
TRNCHNHNCHNSX,0,2021,2024
TRNCHNHUCHNJX,0,2021,2024
TRNCHNHUCHNSC,0,2021,2024
TRNCHNHUCHNSI,0,2021,2024
TRNCHNJICHNLI,0,2021,2024
TRNCHNJIPRKXX,0,2021,2024
TRNCHNJSCHNSC,0,2021,2024
TRNCHNJSCHNSD,0,2021,2024
TRNCHNJSCHNSH,0,2021,2024
TRNCHNJSCHNSI,0,2021,2024
TRNCHNJSCHNSX,0,2021,2024
TRNCHNJSCHNZH,0,2021,2024
TRNCHNJXCHNSC,0,2021,2024
TRNCHNJXCHNWM,0,2021,2024
TRNCHNJXCHNZH,0,2021,2024
TRNCHNLIPRKXX,0,2021,2024
TRNCHNNICHNSD,0,2021,2024
TRNCHNNICHNSI,0,2021,2024
TRNCHNNICHNWM,0,2021,2024
TRNCHNNICHNZH,0,2021,2024
TRNCHNQICHNSC,0,2021,2024
TRNCHNQICHNTI,0,2021,2024
TRNCHNQICHNXI,0,2021,2024
TRNCHNSCCHNSI,0,2021,2024
TRNCHNSCCHNTI,0,2021,2024
TRNCHNSCCHNYU,0,2021,2024
TRNCHNSCCHNZH,0,2021,2024
TRNCHNSDCHNSX,0,2021,2024
TRNCHNSDCHNTJ,0,2021,2024
TRNCHNSDKORXX,0,2021,2024
TRNCHNSDPRKXX,0,2021,2024
TRNCHNSHCHNZH,0,2021,2024
TRNCHNSICHNSX,0,2021,2024
TRNCHNSICHNWM,0,2021,2024
TRNCHNSXCHNWM,0,2021,2024
TRNCHNTICHNXI,0,2021,2024
TRNCHNTICHNYU,0,2021,2024
TRNCHNTIINDNE,0,2021,2024
TRNCHNTIINDNO,0,2021,2024
TRNCHNTIMMRXX,0,2021,2024
TRNCHNTINPLXX,0,2021,2024
TRNCHNTIPAKXX,0,2021,2024
TRNCHNWMMNGXX,0,2021,2024
TRNCHNXIINDNO,0,2021,2024
TRNCHNXIKAZXX,0,2021,2024
TRNCHNXIKGZXX,0,2021,2024
TRNCHNXIMNGXX,0,2021,2024
TRNCHNXIPAKXX,0,2021,2024
TRNCHNXIRUSSI,0,2021,2024
TRNCHNXITJKXX,0,2021,2024
TRNCHNYUCHNZH,0,2021,2024
TRNCHNYULAOXX,0,2021,2024
TRNCHNYUMMRXX,0,2021,2024
TRNCHNYUVNMXX,0,2021,2024
TRNCIVXXGHAXX,0,2021,2024
TRNCIVXXGINXX,0,2021,2024
TRNCIVXXLBRXX,0,2021,2024
TRNCIVXXMLIXX,0,2021,2024
TRNCMRXXCOGXX,0,2021,2024
TRNCMRXXGABXX,0,2021,2024
TRNCMRXXGNQXX,0,2021,2024
TRNCMRXXNGAXX,0,2021,2024
TRNCMRXXTCDXX,0,2021,2024
TRNCODXXCOGXX,0,2021,2024
TRNCODXXRWAXX,0,2021,2024
TRNCODXXSSDXX,0,2021,2024
TRNCODXXTZAXX,0,2021,2024
TRNCODXXUGAXX,0,2021,2024
TRNCODXXZMBXX,0,2021,2024
TRNCOGXXGABXX,0,2021,2024
TRNCOLXXECUXX,0,2021,2024
TRNCOLXXPANXX,0,2021,2024
TRNCOLXXPERXX,0,2021,2024
TRNCOLXXVENXX,0,2021,2024
TRNCRIXXNICXX,0,2021,2024
TRNCRIXXPANXX,0,2021,2024
TRNCYPXXEGYXX,0,2021,2024
TRNCYPXXGRCXX,0,2021,2024
TRNCYPXXISRXX,0,2021,2024
TRNCYPXXLBNXX,0,2021,2024
TRNCYPXXSYRXX,0,2021,2024
TRNCYPXXTURXX,0,2021,2024
TRNCZEXXDEUXX,0,2021,2024
TRNCZEXXPOLXX,0,2021,2024
TRNCZEXXSVKXX,0,2021,2024
TRNDEUXXDNKXX,0,2021,2024
TRNDEUXXFRAXX,0,2021,2024
TRNDEUXXGBRXX,0,2021,2024
TRNDEUXXLUXXX,0,2021,2024
TRNDEUXXNLDXX,0,2021,2024
TRNDEUXXNORXX,0,2021,2024
TRNDEUXXPOLXX,0,2021,2024
TRNDEUXXSWEXX,0,2021,2024
TRNDJIXXERIXX,0,2021,2024
TRNDJIXXETHXX,0,2021,2024
TRNDJIXXSOMXX,0,2021,2024
TRNDJIXXYEMXX,0,2021,2024
TRNDNKXXGBRXX,0,2021,2024
TRNDNKXXNLDXX,0,2021,2024
TRNDNKXXNORXX,0,2021,2024
TRNDNKXXSWEXX,0,2021,2024
TRNDOMXXHTIXX,0,2021,2024
TRNDZAXXESHXX,0,2021,2024
TRNDZAXXESPXX,0,2021,2024
TRNDZAXXFRAXX,0,2021,2024
TRNDZAXXITAXX,0,2021,2024
TRNDZAXXLBYXX,0,2021,2024
TRNDZAXXMARXX,0,2021,2024
TRNDZAXXMLIXX,0,2021,2024
TRNDZAXXMRTXX,0,2021,2024
TRNDZAXXNERXX,0,2021,2024
TRNDZAXXTUNXX,0,2021,2024
TRNECUXXPERXX,0,2021,2024
TRNEGYXXGRCXX,0,2021,2024
TRNEGYXXISRXX,0,2021,2024
TRNEGYXXJORXX,0,2021,2024
TRNEGYXXLBYXX,0,2021,2024
TRNEGYXXSAUXX,0,2021,2024
TRNEGYXXSDNXX,0,2021,2024
TRNERIXXETHXX,0,2021,2024
TRNERIXXSAUXX,0,2021,2024
TRNERIXXSDNXX,0,2021,2024
TRNERIXXYEMXX,0,2021,2024
TRNESHXXMARXX,0,2021,2024
TRNESHXXMRTXX,0,2021,2024
TRNESPXXFRAXX,0,2021,2024
TRNESPXXMARXX,0,2021,2024
TRNESPXXPRTXX,0,2021,2024
TRNESTXXFINXX,0,2021,2024
TRNESTXXLVAXX,0,2021,2024
TRNESTXXRUSNW,0,2021,2024
TRNETHXXKENXX,0,2021,2024
TRNETHXXSDNXX,0,2021,2024
TRNETHXXSSDXX,0,2021,2024
TRNFINXXNORXX,0,2021,2024
TRNFINXXRUSNW,0,2021,2024
TRNFINXXSWEXX,0,2021,2024
TRNFRAXXGBRXX,0,2021,2024
TRNFRAXXIRLXX,0,2021,2024
TRNFRAXXITAXX,0,2021,2024
TRNFRAXXLUXXX,0,2021,2024
TRNGABXXGNQXX,0,2021,2024
TRNGBRXXIRLXX,0,2021,2024
TRNGBRXXISLXX,0,2021,2024
TRNGBRXXNLDXX,0,2021,2024
TRNGBRXXNORXX,0,2021,2024
TRNGEOXXRUSSO,0,2021,2024
TRNGEOXXTURXX,0,2021,2024
TRNGHAXXTGOXX,0,2021,2024
TRNGINXXGNBXX,0,2021,2024
TRNGINXXLBRXX,0,2021,2024
TRNGINXXMLIXX,0,2021,2024
TRNGINXXSENXX,0,2021,2024
TRNGINXXSLEXX,0,2021,2024
TRNGMBXXSENXX,0,2021,2024
TRNGNBXXSENXX,0,2021,2024
TRNGRCXXITAXX,0,2021,2024
TRNGRCXXLBYXX,0,2021,2024
TRNGRCXXMKDXX,0,2021,2024
TRNGRCXXTURXX,0,2021,2024
TRNGRLXXISLXX,0,2021,2024
TRNGTMXXHNDXX,0,2021,2024
TRNGTMXXMEXXX,0,2021,2024
TRNGTMXXSLVXX,0,2021,2024
TRNGUFXXSURXX,0,2021,2024
TRNGUYXXSURXX,0,2021,2024
TRNGUYXXVENXX,0,2021,2024
TRNHNDXXNICXX,0,2021,2024
TRNHNDXXSLVXX,0,2021,2024
TRNHRVXXHUNXX,0,2021,2024
TRNHRVXXMNEXX,0,2021,2024
TRNHRVXXSRBXX,0,2021,2024
TRNHRVXXSVNXX,0,2021,2024
TRNHUNXXROUXX,0,2021,2024
TRNHUNXXSRBXX,0,2021,2024
TRNHUNXXSVKXX,0,2021,2024
TRNHUNXXSVNXX,0,2021,2024
TRNHUNXXUKRXX,0,2021,2024
TRNIDNXXMYSXX,0,2021,2024
TRNIDNXXPNGXX,0,2021,2024
TRNIDNXXSGPXX,0,2021,2024
TRNIDNXXTLSXX,0,2021,2024
TRNINDEAINDNE,0,2021,2024
TRNINDEAINDNO,0,2021,2024
TRNINDEAINDSO,0,2021,2024
TRNINDEAINDWE,0,2021,2024
TRNINDEANPLXX,0,2021,2024
TRNINDNEINDNO,0,2021,2024
TRNINDNEMMRXX,0,2021,2024
TRNINDNOINDWE,0,2021,2024
TRNINDNONPLXX,0,2021,2024
TRNINDNOPAKXX,0,2021,2024
TRNINDSOINDWE,0,2021,2024
TRNINDSOLKAXX,0,2021,2024
TRNINDWEOMNXX,0,2021,2024
TRNINDWEPAKXX,0,2021,2024
TRNINDWESAUXX,0,2021,2024
TRNIRNXXIRQXX,0,2021,2024
TRNIRNXXOMNXX,0,2021,2024
TRNIRNXXPAKXX,0,2021,2024
TRNIRNXXTKMXX,0,2021,2024
TRNIRNXXTURXX,0,2021,2024
TRNIRQXXJORXX,0,2021,2024
TRNIRQXXKWTXX,0,2021,2024
TRNIRQXXSAUXX,0,2021,2024
TRNIRQXXSYRXX,0,2021,2024
TRNIRQXXTURXX,0,2021,2024
TRNISRXXJORXX,0,2021,2024
TRNISRXXLBNXX,0,2021,2024
