FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
HYD,IDNNU,0.36,,,
HYD,IDNPP,22.4,,,
HYD,IDNSL,10.3,,,
HYD,IDNSM,15.6,,,
HYD,INDEA,19.79,,,
HYD,INDNE,198.8,,,
HYD,INDNO,158.05,,,
HYD,INDSO,23.04,,,
HYD,INDWE,24.52,,,
HYD,IRLXX,0.99,,,
HYD,IRNXX,45.09,,,
HYD,IRQXX,14.72,,,
HYD,ISLXX,10.16,,,
HYD,ISRXX,0.14,,,
HYD,ITAXX,20.38,,,
HYD,JAMXX,0.52,,,
HYD,JORXX,0.13,,,
HYD,JPNXX,34.83,,,
HYD,KAZXX,15.74,,,
HYD,KENXX,11.39,,,
HYD,KGZXX,15.44,,,
HYD,KHMXX,10,,,
HYD,KORXX,3.16,,,
HYD,KWTXX,0,,,
HYD,LAOXX,20,,,
HYD,LBNXX,1.06,,,
HYD,LBRXX,8.36,,,
HYD,LBYXX,0.07,,,
HYD,LKAXX,3.36,,,
HYD,LSOXX,1.18,,,
HYD,LTUXX,0.66,,,
HYD,LUXXX,0.05,,,
HYD,LVAXX,0.83,,,
HYD,MARXX,1.89,,,
HYD,MDAXX,0.24,,,
HYD,MDGXX,59.96,,,
HYD,MEXXX,63.87,,,
HYD,MKDXX,0.89,,,
HYD,MLIXX,4.11,,,
HYD,MLTXX,0,,,
HYD,MMRXX,39.71,,,
HYD,MNEXX,3.25,,,
HYD,MNGXX,6.95,,,
HYD,MOZXX,59.89,,,
HYD,MRTXX,0.12,,,
HYD,MUSXX,0,,,
HYD,MWIXX,5.6,,,
HYD,MYSPE,14.23,,,
HYD,MYSSH,0.38,,,
HYD,MYSSK,5.39,,,
HYD,NAMXX,5.18,,,
HYD,NERXX,1.78,,,
HYD,NGAXX,37.54,,,
HYD,NICXX,4.87,,,
HYD,NLDXX,0.25,,,
HYD,NORXX,28.97,,,
HYD,NPLXX,90.12,,,
HYD,NZLXX,31.38,,,
HYD,OMNXX,0.08,,,
HYD,PAKXX,91,,,
HYD,PANXX,9.07,,,
HYD,PERXX,130.1,,,
HYD,PHLLU,11.64,,,
HYD,PHLMI,4.86,,,
HYD,PHLVI,0,,,
HYD,PNGXX,125.68,,,
HYD,POLXX,3.28,,,
HYD,PRKXX,5.85,,,
HYD,PRTXX,4.47,,,
HYD,PRYXX,9.21,,,
HYD,QATXX,0,,,
HYD,ROUXX,6.17,,,
HYD,RUSCE,2.55,,,
HYD,RUSFE,198.55,,,
HYD,RUSMV,9.21,,,
HYD,RUSNW,17.48,,,
HYD,RUSSI,160.41,,,
HYD,RUSSO,12.59,,,
HYD,RUSUR,11.1,,,
HYD,RWAXX,0.62,,,
HYD,SAUXX,0,,,
HYD,SDNXX,29.95,,,
HYD,SENXX,0.45,,,
HYD,SGPXX,0,,,
HYD,SLEXX,7.33,,,
HYD,SLVXX,1.9,,,
HYD,SOMXX,0.77,,,
HYD,SRBXX,4.72,,,
HYD,SURXX,6.68,,,
HYD,SVKXX,1.87,,,
HYD,SVNXX,2.48,,,
HYD,SWEXX,13.52,,,
HYD,SWZXX,1.1,,,
HYD,SYRXX,3.15,,,
HYD,TCDXX,5.82,,,
HYD,TGOXX,0.56,,,
HYD,THACE,3.95,,,
HYD,THANO,10.89,,,
HYD,THASO,0.31,,,
HYD,TJKXX,22.74,,,
HYD,TKMXX,11.85,,,
HYD,TLSXX,0.79,,,
HYD,TTOXX,0.03,,,
HYD,TUNXX,0.52,,,
HYD,TURXX,49.06,,,
HYD,TWNXX,12.31,,,
HYD,TZAXX,21.11,,,
HYD,UGAXX,11.49,,,
HYD,UKRXX,4.46,,,
HYD,URYXX,2.02,,,
HYD,USAMR,10.55,,,
HYD,USANP,12.88,,,
HYD,USARF,12.97,,,
HYD,USASE,44.87,,,
HYD,USATE,1.78,,,
HYD,USAWE,116.66,,,
HYD,UZBXX,6.81,,,
HYD,VENXX,87.52,,,
HYD,VNMCE,16.45,,,
HYD,VNMNO,16.16,,,
HYD,VNMSO,2.39,,,
HYD,YEMXX,0,,,
HYD,ZAFXX,12.09,,,
HYD,ZMBXX,47.28,,,
HYD,ZWEXX,28.52,,,
SPV,AFGXX,982.82,,,
SPV,AGOXX,708.84,,,
SPV,ALBXX,20.15,,,
SPV,AREXX,95.32,,,
SPV,ARGXX,3638.23,,,
SPV,ARMXX,31.19,,,
SPV,AUSXX,100,,,
SPV,AUTXX,43.69,,,
SPV,AZEXX,109.96,,,
SPV,BELXX,29.82,,,
SPV,BENXX,85.13,,,
SPV,BFAXX,355.68,,,
SPV,BGDXX,151.54,,,
SPV,BGRXX,70.68,,,
SPV,BHRXX,0.99,,,
SPV,BIHXX,24.15,,,
SPV,BLRXX,150.68,,,
SPV,BOLXX,695.42,,,
SPV,BRAXX,100,,,
SPV,BRNXX,0.46,,,
SPV,BTNXX,1.81,,,
SPV,BWAXX,622.69,,,
SPV,CAFXX,86.82,,,
SPV,CANCE,100,,,
SPV,CANEA,100,,,
SPV,CANNO,100,,,
SPV,CANWE,100,,,
SPV,CHEXX,31.91,,,
SPV,CHLXX,100,,,
SPV,CHNCE,557.1,,,
SPV,CHNEA,398.18,,,
SPV,CHNNE,730.82,,,
SPV,CHNNO,2383.34,,,
SPV,CHNNW,4646.52,,,
SPV,CHNSO,100,,,
SPV,CHNSW,2395.6,,,
SPV,CIVXX,49.25,,,
SPV,CMRXX,136.87,,,
SPV,CODXX,665.6,,,
SPV,COGXX,111.54,,,
SPV,COLXX,495.19,,,
SPV,CPVXX,6.42,,,
SPV,CRIXX,16.07,,,
SPV,CUBXX,72.48,,,
SPV,CYPXX,8.92,,,
SPV,CZEXX,65.88,,,
SPV,DEUXX,261.81,,,
SPV,DJIXX,1000,,,
SPV,DNKXX,100,,,
