CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,,,
IDNSL,DSL,1984,2014,71.28,,,,
IDNSL,DSL,1985,2015,50.88,,,,
IDNSL,DSL,1988,2018,51.87,,,,
IDNSL,DSL,1992,2022,33.42,,,,
IDNSL,DSL,2001,2031,91.32,,,,
IDNSL,DSL,2002,2032,6.45,,,,
IDNSL,DSL,2012,2042,18.65,,,,
IDNSM,DSL,1963,1993,0.04,,,,
IDNSM,DSL,2005,2035,11.16,,,,
IDNSL,DSL,1978,2008,1.43,,,,
IDNSL,DSL,1991,2021,120.72,,,,
IDNSL,DSL,1993,2023,120.72,,,,
IDNSM,DSL,1960,1990,1.54,,,,
IDNSM,DSL,1961,1991,1.34,,,,
IDNSM,DSL,1962,1992,0.12,,,,
IDNSM,DSL,1965,1995,13.84,,,,
IDNSM,DSL,1971,2001,0.12,,,,
IDNSM,DSL,2008,2038,65.97,,,,
IDNSM,DSL,2017,2047,19.68,,,,
IDNJW,GEO,1983,2013,35.71,,,,
IDNJW,GEO,1987,2017,130.92,,,,
IDNJW,GEO,1994,2024,261.84,,,,
IDNJW,GEO,1997,2027,196.38,,,,
IDNJW,GEO,2000,2030,238.05,,,,
IDNJW,GEO,2008,2038,71.41,,,,
IDNJW,GEO,2009,2039,283.28,,,,
IDNJW,GEO,2014,2044,65.46,,,,
IDNJW,GEO,2015,2045,41.66,,,,
IDNJW,GEO,2018,2048,35.71,,,,
IDNJW,GEO,1998,2028,60,,,,
IDNSM,GEO,2012,2042,110,,,,
IDNSM,GEO,2016,2046,55,,,,
IDNSM,GEO,2017,2047,286.18,,,,
IDNNU,GEO,2020,2050,12.5,,,,
IDNSL,GEO,2020,2050,120,,,,
IDNSM,GEO,2019,2049,190.08,,,,
IDNSM,GEO,2021,2051,142.9,,,,
IDNSM,GEO,2018,2048,115.59,,,,
IDNSM,HYD,2000,2080,2075.68,,,,
IDNNU,HYD,2000,2080,30.17,,,,
