CUSTOM_NODE,YEAR,VALUE
VNMNO,2015,191.9
VNMNO,2016,220.83
VNMNO,2017,245.6
VNMNO,2018,277.25
VNMNO,2019,303.42
VNMNO,2020,322.51
VNMNO,2021,344.25
VNMNO,2022,368.32
VNMNO,2023,406.95
VNMNO,2024,447.84
VNMNO,2025,485.35
VNMNO,2026,533.27
VNMNO,2027,583.06
VNMNO,2028,633.7
VNMNO,2029,689.06
VNMNO,2030,757.49
VNMNO,2031,817.97
VNMNO,2032,890.7
VNMNO,2033,969.34
VNMNO,2034,1053.71
VNMNO,2035,1144.23
VNMNO,2036,1241.54
VNMNO,2037,1346.22
VNMNO,2038,1458.59
VNMNO,2039,1579.38
VNMNO,2040,1709.25
VNMNO,2041,1734.45
VNMNO,2042,1811.86
VNMNO,2043,1881.14
VNMNO,2044,1939.43
VNMNO,2045,1983.42
VNMNO,2046,2009.1
VNMNO,2047,2011.76
VNMNO,2048,1985.76
VNMNO,2049,1924.45
VNMNO,2050,1971.48
VNMNC,2015,30.51
VNMNC,2016,36.47
VNMNC,2017,41.71
VNMNC,2018,48.42
VNMNC,2019,54.54
VNMNC,2020,57.97
VNMNC,2021,62.65
VNMNC,2022,67.13
VNMNC,2023,75.08
VNMNC,2024,82.99
VNMNC,2025,90.47
VNMNC,2026,99.81
VNMNC,2027,109.68
VNMNC,2028,119.55
VNMNC,2029,130.44
VNMNC,2030,143.8
VNMNC,2031,155.71
VNMNC,2032,169.94
VNMNC,2033,185.35
VNMNC,2034,201.86
VNMNC,2035,219.58
VNMNC,2036,238.62
VNMNC,2037,259.1
VNMNC,2038,281.08
VNMNC,2039,304.7
VNMNC,2040,330.1
VNMNC,2041,335.28
VNMNC,2042,350.55
VNMNC,2043,364.24
VNMNC,2044,375.79
VNMNC,2045,384.57
VNMNC,2046,389.79
VNMNC,2047,390.52
VNMNC,2048,385.67
VNMNC,2049,373.94
VNMNC,2050,383.24
VNMSC,2015,47.57
VNMSC,2016,52.06
VNMSC,2017,56.31
VNMSC,2018,60.39
VNMSC,2019,66.1
VNMSC,2020,66.06
VNMSC,2021,68.97
VNMSC,2022,75.28
VNMSC,2023,80.68
VNMSC,2024,87.48
VNMSC,2025,94.51
VNMSC,2026,103.07
VNMSC,2027,111.28
VNMSC,2028,120.47
VNMSC,2029,130.26
VNMSC,2030,142.28
VNMSC,2031,152.85
VNMSC,2032,165.78
VNMSC,2033,179.61
VNMSC,2034,194.5
VNMSC,2035,210.54
VNMSC,2036,227.75
VNMSC,2037,246.25
VNMSC,2038,266.16
VNMSC,2039,287.55
VNMSC,2040,310.54
VNMSC,2041,314.52
VNMSC,2042,328
VNMSC,2043,339.99
VNMSC,2044,350.02
VNMSC,2045,357.48
VNMSC,2046,361.67
VNMSC,2047,361.74
VNMSC,2048,356.69
VNMSC,2049,345.35
VNMSC,2050,353.48
VNMCH,2015,20.67
VNMCH,2016,23.04
VNMCH,2017,24.52
VNMCH,2018,27.11
VNMCH,2019,28.64
VNMCH,2020,30.75
VNMCH,2021,33.5
VNMCH,2022,36.26
VNMCH,2023,39.88
VNMCH,2024,44.55
VNMCH,2025,48.55
VNMCH,2026,53.52
VNMCH,2027,58.79
VNMCH,2028,64.24
VNMCH,2029,70.03
VNMCH,2030,77.23
VNMCH,2031,83.67
VNMCH,2032,91.35
VNMCH,2033,99.63
VNMCH,2034,108.55
VNMCH,2035,118.1
VNMCH,2036,128.35
VNMCH,2037,139.39
VNMCH,2038,151.24
VNMCH,2039,163.97
VNMCH,2040,177.66
VNMCH,2041,180.47
VNMCH,2042,188.7
VNMCH,2043,196.08
VNMCH,2044,202.32
VNMCH,2045,207.06
VNMCH,2046,209.88
VNMCH,2047,210.29
VNMCH,2048,207.69
VNMCH,2049,201.38
VNMCH,2050,206.4
VNMSO,2015,281.48
VNMSO,2016,305.09
VNMSO,2017,324.16
