NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
SWE_Hyd_Stugun17669,34.9,33.5,48.9,79.9,79.9,79.9,79.9,63.5,61.0,70.9,59.2,49.8
SWE_Hyd_Svarthlsforse17670,78.0,79.9,79.9,66.9,48.2,45.7,36.0,29.5,49.3,65.3,79.9,79.9
SWE_Hyd_Sveg17671,69.9,79.9,61.4,79.2,79.9,79.9,79.9,68.4,71.4,66.7,66.4,59.9
SWE_Hyd_Tasjo17672,26.9,28.8,30.6,33.0,44.5,79.9,79.9,79.9,79.9,75.9,32.7,24.3
SWE_Hyd_Timsfors17673,13.7,18.5,59.3,79.9,79.9,72.0,63.5,70.9,79.9,79.9,75.9,20.5
SWE_Hyd_Torpshammar17674,17.5,17.5,17.6,53.8,79.9,70.6,79.9,79.9,79.9,30.4,17.5,17.5
SWE_Hyd_Trngslet17675,43.7,47.1,78.0,79.9,79.9,55.9,49.9,57.0,66.1,79.9,79.9,56.0
SWE_Hyd_Tuggen17676,29.1,51.4,79.9,79.9,79.9,79.9,45.9,54.0,32.3,35.5,33.4,25.1
SWE_Hyd_Umluspen17678,41.3,59.2,79.9,79.9,79.9,79.9,74.7,57.3,53.0,43.4,43.2,35.8
SWE_Hyd_Untra17679,68.2,77.2,59.9,63.2,73.4,79.4,79.9,79.9,79.9,79.9,67.4,63.9
SWE_Hyd_Vargfors17683,79.9,79.9,79.9,79.9,36.1,23.6,15.4,13.7,14.4,19.1,67.1,79.3
SWE_Hyd_Vargon17684,35.8,34.9,52.9,79.9,79.9,79.9,73.1,61.5,67.2,79.9,65.5,44.3
SWE_Hyd_Vietas17686,38.0,31.1,46.5,79.9,79.9,79.9,79.9,70.0,62.1,55.5,54.9,45.3
SWE_Hyd_Viforsen17687,59.9,61.2,71.8,79.9,79.9,72.2,71.2,70.3,72.9,79.9,79.9,64.6
SWE_Hyd_Vittjarv17688,14.8,26.8,36.1,46.0,37.5,79.9,79.9,79.9,79.9,22.6,21.3,14.5
SWE_Hyd_Volgsjofors17689,25.8,24.9,28.1,27.9,74.6,79.9,79.9,79.9,79.9,48.9,30.9,24.1
SWZ_Hyd_Edwaleni17518,56.7,57.2,65.2,74.9,75.7,69.4,64.7,62.5,67.0,73.3,71.6,59.4
SWZ_Hyd_Lupohlo17519,75.7,75.7,75.7,47.6,31.5,28.3,24.6,23.8,31.6,32.1,50.1,75.7
SWZ_Hyd_MagugaDam17520,66.7,66.7,33.5,38.6,27.3,15.6,8.0,6.7,9.6,37.1,66.7,66.7
SYR_Hyd_BaathHydroelec17863,4.7,4.7,4.7,3.6,3.3,3.3,3.3,3.3,3.3,3.3,3.7,4.7
SYR_Hyd_TaqbaAlThawr17871,0.9,1.0,1.1,1.6,3.4,3.8,3.8,3.8,3.8,2.6,1.5,0.9
SYR_Hyd_TeshreenTishr17872,4.7,4.7,4.7,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.8,4.7
TGO_Hyd_Nangbeto18102,16.1,16.1,16.1,11.5,8.4,7.9,7.0,6.3,5.9,5.8,11.5,16.1
THA_Hyd_BangLang17943,6.7,7.4,16.7,17.6,17.6,17.6,13.2,6.0,7.2,14.3,17.6,9.1
THA_Hyd_Bhumibol17947,17.6,17.6,17.6,10.9,4.5,2.3,1.9,1.8,1.9,3.0,11.4,17.6
THA_Hyd_Chulabhorn17958,23.8,23.8,23.8,14.3,8.5,7.4,6.2,5.7,8.5,8.7,15.0,23.8
THA_Hyd_LamTaKhong18002,10.2,16.8,17.6,17.6,17.6,11.7,9.6,7.4,12.9,10.6,17.6,12.4
THA_Hyd_PakMun18038,2.5,5.6,17.6,17.6,17.6,17.6,12.9,7.1,7.5,8.0,3.2,2.0
THA_Hyd_Rajjaprabha18043,17.6,17.6,17.6,11.8,5.6,3.0,2.0,1.8,2.2,4.3,16.5,17.6
THA_Hyd_Sirikit18065,5.0,7.0,12.6,22.0,22.4,22.0,19.0,15.6,16.6,16.2,13.7,6.9
THA_Hyd_Srinagarind18069,17.6,17.6,17.6,10.1,6.7,10.1,11.0,12.2,12.2,12.6,10.7,17.6
THA_Hyd_ThaThung18081,21.9,24.4,20.4,19.5,19.5,18.1,16.2,16.7,14.8,20.0,18.9,21.9
THA_Hyd_Vajiralongkorn18094,5.0,5.6,14.4,17.6,17.6,10.6,6.8,9.4,13.2,17.6,17.6,9.2
TJK_Hyd_Baipaza17912,79.0,74.9,68.8,66.1,62.2,59.6,59.3,62.0,61.3,66.3,66.6,75.4
TJK_Hyd_Capacity Scaler,41.5,40.5,41.5,41.5,17.9,18.4,27.4,21.5,22.4,26.6,40.5,41.5
TJK_Hyd_Golovnaya17914,57.7,60.9,79.0,79.0,66.3,56.1,41.6,40.5,49.2,53.5,79.0,79.0
TJK_Hyd_Kairakkum17915,79.0,79.0,79.0,45.2,42.5,69.8,60.3,79.0,76.6,55.2,42.4,69.3
TJK_Hyd_Khorog17916,38.2,37.1,35.9,36.6,49.4,79.0,79.0,77.2,79.0,79.0,52.2,43.2
TJK_Hyd_Nurek17917,4.5,12.7,20.6,19.9,14.2,44.2,44.2,44.2,44.2,9.3,8.9,5.1
TJK_Hyd_Sangtuda117918,74.0,79.0,70.7,68.8,68.8,66.6,62.5,63.6,59.3,69.7,67.8,74.0
TJK_Hyd_Varzob117919,79.0,79.0,79.0,55.4,22.4,14.4,12.0,11.7,12.0,13.3,27.9,79.0
TJK_Hyd_Varzob217920,11.7,17.9,47.3,79.0,79.0,70.5,59.2,54.8,72.5,79.0,79.0,19.8
TUN_Hyd_Aroussia18110,5.4,17.3,34.4,34.4,34.4,34.4,18.5,31.2,20.7,4.9,4.8,4.0
TUN_Hyd_Bouherthma18113,21.7,21.7,21.7,15.0,11.7,10.6,8.8,8.1,7.7,7.5,14.8,21.7
TUN_Hyd_Capacity Scaler,8.8,8.3,21.7,21.7,21.7,11.4,7.9,10.2,12.1,19.2,21.7,13.4
TUN_Hyd_Fernana18115,4.0,5.1,7.7,14.0,22.3,34.4,34.4,34.4,34.4,21.2,5.7,4.0
TUN_Hyd_Kasseb18120,13.1,25.7,34.4,34.4,34.4,34.4,29.9,27.4,12.1,16.4,13.4,5.7
TUN_Hyd_Nebeur18125,7.8,7.7,7.8,7.8,3.7,3.7,5.1,4.2,4.4,5.1,7.7,7.8
TUN_Hyd_SidiSalem18129,18.4,18.4,18.0,8.1,4.2,3.7,3.4,4.8,11.1,17.1,18.4,18.4
TUR_Hyd_AltnkayaDam18140,40.0,40.0,40.0,20.7,15.6,13.0,10.9,9.5,15.3,19.1,26.4,40.0
TUR_Hyd_AslantaDam18143,10.3,11.5,11.2,13.1,44.8,48.2,48.2,48.2,48.2,36.4,16.1,8.0
TUR_Hyd_atalanDam18222,4.5,3.4,4.4,11.5,17.4,17.2,17.4,17.4,17.4,15.1,9.0,7.6
TUR_Hyd_AtatrkDam18145,45.9,45.9,45.9,43.5,32.3,30.2,28.2,27.3,33.9,33.5,44.4,45.9
TUR_Hyd_BatmanDam18150,25.3,25.3,21.9,9.4,6.1,4.7,4.4,5.2,8.7,20.3,25.3,25.3
TUR_Hyd_BerkeDam18152,6.9,6.8,4.6,4.1,4.7,40.0,40.0,40.0,40.0,12.5,5.2,5.0
TUR_Hyd_BirecikDam18153,7.9,8.3,16.3,30.0,30.0,23.0,30.0,30.0,11.9,17.7,12.4,8.4
TUR_Hyd_BorkaDam18155,10.9,13.9,30.0,30.0,30.0,16.3,11.9,12.5,17.6,21.0,30.0,18.0
