REGION,TECHNOLOGY,VALUE
GLOBAL,PWROILLSOXX01,30
GLOBAL,PWRCSPSLEXX01,30
GLOBAL,PWRWONUSANY01,30
GLOBAL,PWRWONCHNGX01,30
GLOBAL,PWRWONCHNSX01,30
GLOBAL,PWRURNGUFXX01,60
GLOBAL,PWRCOAINDSO01,30
GLOBAL,PWROILPAKXX01,30
GLOBAL,PWROCGTJKXX01,30
GLOBAL,PWROCGLKAXX01,30
GLOBAL,PWRSPVCOGXX01,30
GLOBAL,PWROCGINDSO01,30
GLOBAL,PWRBIOESTXX01,45
GLOBAL,PWRSPVSOMXX01,30
GLOBAL,PWRPETCHNGU01,30
GLOBAL,PWRWAVCHNLI01,20
GLOBAL,PWROCGSAUXX01,30
GLOBAL,PWRHYDBRAWE01,100
GLOBAL,PWRSPVPRYXX01,30
GLOBAL,PWROILSLEXX01,30
GLOBAL,PWRURNMUSXX01,60
GLOBAL,PWRCCGAUSSA00,30
GLOBAL,PWRGEOAUSTA01,30
GLOBAL,PWROCGBRANE00,30
GLOBAL,PWRCSPYEMXX01,30
GLOBAL,PWRWONBGRXX01,30
GLOBAL,PWRHYDUSANE01,100
GLOBAL,PWROILJPNTO01,30
GLOBAL,PWROILARGXX01,30
GLOBAL,PWROCGGHAXX01,30
GLOBAL,PWRWAVOMNXX01,20
GLOBAL,PWRPETLSOXX01,30
GLOBAL,PWRWASTKMXX01,30
GLOBAL,PWRHYDAUSQL01,100
GLOBAL,PWROTHCOGXX01,30
GLOBAL,PWRWOFOMNXX01,30
GLOBAL,PWRCCGSDNXX01,30
GLOBAL,PWRCOAUSAAK01,30
GLOBAL,PWROTHARMXX01,30
GLOBAL,PWRGEOUSASC01,30
GLOBAL,PWROCGUSAFR01,30
GLOBAL,PWROILUSAAK01,30
GLOBAL,PWRCSPJPNKY01,30
GLOBAL,PWRCCGMNGXX01,30
GLOBAL,PWRURNCHNHA01,60
GLOBAL,PWRSPVHTIXX01,30
GLOBAL,PWROTHUSARE01,30
GLOBAL,PWRWASCHNJS01,30
GLOBAL,PWRCSPLBNXX01,30
GLOBAL,PWROTHCHNSC01,30
GLOBAL,PWRCCGPANXX01,30
GLOBAL,PWRURNJAMXX01,60
GLOBAL,PWRPETAGOXX01,30
GLOBAL,PWRCCGDNKXX01,30
GLOBAL,PWROTHSVNXX01,30
GLOBAL,PWRCSPCHNBE01,30
GLOBAL,PWRWASKOSXX01,30
GLOBAL,PWRCOGSAUXX01,30
GLOBAL,PWRGEOESHXX01,30
GLOBAL,PWRBIODNKXX01,45
GLOBAL,PWRCOGJPNHO01,30
GLOBAL,PWRWOFGMBXX01,30
GLOBAL,PWROTHGUFXX01,30
GLOBAL,PWRCOGFINXX01,30
GLOBAL,PWRCCGAUSWA00,30
GLOBAL,PWRCSPUSAAZ01,30
