REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCOAAUSWA01,31.536
GLOBAL,PWRURNAUSWA01,31.536
GLOBAL,PWRWONAUSWA01,31.536
GLOBAL,PWRWASAUSWA01,31.536
GLOBAL,PWRWOFAUSWA01,31.536
GLOBAL,PWRWAVAUSWA01,31.536
GLOBAL,PWRPETAUSWA01,31.536
GLOBAL,PWRGEOAUSWA01,31.536
GLOBAL,PWRCOGAUSWA01,31.536
GLOBAL,PWRCCGAUSVI00,31.536
GLOBAL,PWROCGAUSVI00,31.536
GLOBAL,PWRHYDAUSVI01,31.536
GLOBAL,PWROILAUSVI01,31.536
GLOBAL,PWRSPVAUSVI01,31.536
GLOBAL,PWROTHAUSVI01,31.536
GLOBAL,PWRCSPAUSVI01,31.536
GLOBAL,PWRBIOAUSVI01,31.536
GLOBAL,PWRCOAAUSVI01,31.536
GLOBAL,PWRURNAUSVI01,31.536
GLOBAL,PWRWONAUSVI01,31.536
GLOBAL,PWRWASAUSVI01,31.536
GLOBAL,PWRWOFAUSVI01,31.536
GLOBAL,PWRWAVAUSVI01,31.536
GLOBAL,PWRPETAUSVI01,31.536
GLOBAL,PWRGEOAUSVI01,31.536
GLOBAL,PWRCOGAUSVI01,31.536
GLOBAL,PWRCCGAUSTA00,31.536
GLOBAL,PWROCGAUSTA00,31.536
GLOBAL,PWRHYDAUSTA01,31.536
GLOBAL,PWROILAUSTA01,31.536
GLOBAL,PWRSPVAUSTA01,31.536
GLOBAL,PWROTHAUSTA01,31.536
GLOBAL,PWRCSPAUSTA01,31.536
GLOBAL,PWRBIOAUSTA01,31.536
GLOBAL,PWRCOAAUSTA01,31.536
GLOBAL,PWRURNAUSTA01,31.536
GLOBAL,PWRWONAUSTA01,31.536
GLOBAL,PWRWASAUSTA01,31.536
GLOBAL,PWRWOFAUSTA01,31.536
GLOBAL,PWRWAVAUSTA01,31.536
GLOBAL,PWRPETAUSTA01,31.536
GLOBAL,PWRGEOAUSTA01,31.536
GLOBAL,PWRCOGAUSTA01,31.536
GLOBAL,PWRCCGAUTXX00,31.536
GLOBAL,PWROCGAUTXX00,31.536
GLOBAL,PWRHYDAUTXX01,31.536
GLOBAL,PWROILAUTXX01,31.536
GLOBAL,PWRSPVAUTXX01,31.536
GLOBAL,PWROTHAUTXX01,31.536
GLOBAL,PWRCSPAUTXX01,31.536
GLOBAL,PWRBIOAUTXX01,31.536
GLOBAL,PWRCOAAUTXX01,31.536
GLOBAL,PWRURNAUTXX01,31.536
GLOBAL,PWRWONAUTXX01,31.536
GLOBAL,PWRWASAUTXX01,31.536
GLOBAL,PWRWOFAUTXX01,31.536
GLOBAL,PWRWAVAUTXX01,31.536
GLOBAL,PWRPETAUTXX01,31.536
GLOBAL,PWRGEOAUTXX01,31.536
GLOBAL,PWRCOGAUTXX01,31.536
GLOBAL,PWRCCGAZEXX00,31.536
GLOBAL,PWROCGAZEXX00,31.536
