NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
AUT_Hyd_Tuxbach818,18.35083056,20.52535095,43.86166727,53.03708255,53.03708255,53.03708255,53.03708255,45.45277975,40.30818274,34.79232615,34.31499241,22.38164884
CHE_Hyd_LaGoule17768,49.25057985,50.72150345,50.72150345,40.47575975,25.76652375,23.73766361,15.97727359,10.70223723,26.57806781,39.20772216,50.72150345,50.72150345
AUT_Hyd_Mayrhofen783,24.18490964,25.19261421,53.03708255,53.03708255,39.67173775,50.65041384,53.03708255,53.03708255,43.80863019,36.33040155,40.36121982,30.28417414
USA_Hyd_PECHeadworks26545,52.57049775,52.57049775,52.57049775,52.57049775,44.89520508,29.12405575,10.88209303,7.780433666,8.989555115,10.30381756,26.60067186,51.3088058
CHE_Hyd_EtzelwerkAlten17729,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
AUT_Hyd_Fisching745,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
AUT_Hyd_Friesach747,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
CHE_Hyd_AltendorfBuch17698,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CHE_Hyd_Siebnen17826,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CHE_Hyd_Giessen17738,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
AUT_Hyd_Walgauwerk823,38.23973652,43.38433353,46.24833598,44.12685268,53.03708255,53.03708255,53.03708255,44.60418643,47.14996639,48.42285637,52.24152631,53.03708255
AUT_Hyd_KaprunOberstuf764,10.44500095,5.303708255,14.07414873,35.94984508,53.03708255,53.03708255,53.03708255,53.03708255,43.9642131,34.43770017,26.47373698,14.98143567
AUT_Hyd_KaprunLimberg763,10.44500095,5.303708255,14.07414873,35.94984508,53.03708255,53.03708255,53.03708255,53.03708255,43.9642131,34.43770017,26.47373698,14.98143567
